client_id,client_name,device_table,device_id,device_name,month,samples,peak_kw,day_peak_kw,night_peak_kw,solar_window_peak_kw
30,Meadow Hall,main_device,223,SPORT ARENA,2025-01-01,5483,25.04,18.64,25.04,18.64
30,Meadow Hall,main_device,223,SPORT ARENA,2025-02-01,4545,28.799999999999997,12.88,28.799999999999997,12.88
30,Meadow Hall,main_device,223,SPORT ARENA,2025-03-01,3598,30.64,23.919999999999998,30.64,14.0
30,Meadow Hall,main_device,223,SPORT ARENA,2025-04-01,3644,35.76,17.68,35.76,16.080000000000002
30,Meadow Hall,main_device,223,SPORT ARENA,2025-05-01,4262,27.599999999999998,12.48,27.599999999999998,12.48
30,Meadow Hall,main_device,223,SPORT ARENA,2025-06-01,5613,25.2,14.32,25.2,14.32
30,Meadow Hall,main_device,223,SPORT ARENA,2025-07-01,5827,28.32,18.240000000000002,28.32,9.6
30,Meadow Hall,main_device,223,SPORT ARENA,2025-08-01,5159,32.480000000000004,12.48,32.480000000000004,12.48
30,Meadow Hall,main_device,223,SPORT ARENA,2025-09-01,5188,39.76,18.32,39.76,17.92
30,Meadow Hall,main_device,223,SPORT ARENA,2025-10-01,5900,44.720000000000006,35.2,44.720000000000006,26.720000000000002
30,Meadow Hall,main_device,223,SPORT ARENA,2025-11-01,6092,48.08,25.6,48.08,25.6
30,Meadow Hall,main_device,223,SPORT ARENA,2025-12-01,3236,42.96,26.8,42.96,18.16
30,Meadow Hall,main_device,223,SPORT ARENA,2026-01-01,1992,42.56,16.64,42.56,16.4
